mr_id,title,author,state,created_at,merged_at,merge_time_hours
1366,Change territoriality customer response,f7d61e48,merged,2026-03-04 07:34:39.669000+00:00,2026-03-04 08:02:34.057000+00:00,0.46510777777777773
1365,add zip sort transfer,f7d61e48,merged,2026-03-02 07:49:40.051000+00:00,2026-03-02 07:51:25.591000+00:00,0.029316666666666668
1364,Feature/permanent transfers,98b6e6fd,opened,2026-03-02 07:36:41.081000+00:00,,
1363,add generateZipFiles,f7d61e48,merged,2026-02-27 08:47:39.445000+00:00,2026-02-27 08:47:51.372000+00:00,0.0033130555555555556
1362,modif CurrencyAvailableAmount,6029dd24,merged,2026-02-27 08:43:10.735000+00:00,2026-02-27 08:48:04.223000+00:00,0.08152444444444444
1361,Fix change title api,f7d61e48,merged,2026-02-26 08:55:14.318000+00:00,2026-02-26 08:55:24.165000+00:00,0.0027352777777777774
1360,fix create cheque book chapter validation,d5ec8f59,merged,2026-02-24 12:14:49.122000+00:00,2026-02-25 07:34:09.348000+00:00,19.322284999999997
1359,add transaction mode for biller payment,d5ec8f59,merged,2026-02-23 13:05:16.176000+00:00,2026-02-24 12:00:55.790000+00:00,22.927670555555554
1358,fix/MWBR-CLAIMS/add-mock-abt-response,a94a3fd1,opened,2026-02-23 11:39:18.828000+00:00,,
1357,Fix/mwbr /fix reload card,a94a3fd1,merged,2026-02-19 12:34:17.502000+00:00,2026-02-20 12:09:10.834000+00:00,23.58148111111111
1356,fix batch event deserialization,d5ec8f59,closed,2026-02-19 10:27:20.886000+00:00,,
1355,fix payment status response when get payment objects,d5ec8f59,merged,2026-02-19 10:05:15.900000+00:00,2026-02-23 08:24:49.195000+00:00,94.32591527777777
1354,fix(notification): resources,e6fda5b6,opened,2026-02-19 09:23:50.404000+00:00,,
1353,add account validation for create saving plan request,d5ec8f59,closed,2026-02-18 15:32:44.125000+00:00,,
1352,add missing status for update batch transactions status,d5ec8f59,opened,2026-02-17 16:01:12.730000+00:00,,
1351,remove ceiling validation for transfer requests,d5ec8f59,merged,2026-02-16 13:31:28.895000+00:00,2026-02-17 10:04:09.740000+00:00,20.54467916666667
1350,add account filter to getClaims,c82282e6,opened,2026-02-16 12:59:26.770000+00:00,,
1349,Draft: Commit_AddDomCommandValidator,6029dd24,opened,2026-02-16 08:22:38.592000+00:00,,
1348,add ceiling validation for deferred and permanent transfer,d5ec8f59,merged,2026-02-13 15:58:01.467000+00:00,2026-02-13 17:54:35.269000+00:00,1.9427227777777778
1347,fix/MWBR-/savings-plan-evolution,a94a3fd1,merged,2026-02-13 12:52:26.255000+00:00,2026-02-13 17:54:18.132000+00:00,5.031076944444445
